Account Id,Review Link,Tea Name,Aroma Rating,Flavor Rating,Value Rating,Total Rating,Brand,Style,Region,Caffeine,Loose Type,Product page
1,https://ratetea.com//review/6660/,Jinggu Camellia Taliensis Black Tea,9,4,5,93,Yunnan Sourcing,Yunnan Red,"Jinggu, Yunnan, China",Caffeinated,Loose,https://yunnansourcing.com/products/jinggu-camellia-taliensis-black-tea
1,https://ratetea.com//review/6134/,China Black Special,7,5,5,93,TeaSource,Black Tea,"Guangxi, China",Caffeinated,Loose,https://www.teasource.com/products/china-black-special-black-tea
1,https://ratetea.com//review/5947/,Oaklands Full Assam,8,5,4,93,Harney and Sons,Assam,"Dibrugarh, Assam, India",Caffeinated,Loose,/tea/harney/oaklands-full-assam/8532/
1,https://ratetea.com//review/5423/,Saimo Assam Summer Organic Artisanal Oolong,9,5,5,93,TEAORB,Oolong Tea,"Tinsukia, Assam, India",Caffeinated,Loose,https://teaorb.com/product/QVNTVTE2T0FPMg==/saimo-assam-summer-organic-artisanal-oolong-single-estate
1,https://ratetea.com//review/4611/,Himalayan Oolong Tea,9,5,5,93,Udyan Tea,Oolong Tea,Nepal,Caffeinated,Loose,https://www.udyantea.com/himalayan-oolong-tea.html
1,https://ratetea.com//review/4537/,Okayti Silver Needle Darjeeling White Tea Second Flush,9,5,5,93,Golden Tips,Silver Needle,"Darjeeling, India",Caffeinated,Loose,http://goldentipstea.com/products/okayti-silver-needle-darjeeling-second-flush-organic-white-tea
1,https://ratetea.com//review/4272/,Avaata Supreme Nilgiri Green Tea First Flush (Organic),9,5,5,93,Golden Tips,Green Tea,"Nilgiri, India",Caffeinated,Loose,/tea/golden-tips/avaata-supreme-nilgiri-green/7969/
1,https://ratetea.com//review/3994/,Jasmine Green,9,5,5,93,Octavia Tea,Jasmine Tea,?????,Caffeinated,Loose,http://www.octaviatea.com/products/Jasmine-Green-%28tin%29.html
1,https://ratetea.com//review/3442/,"Sungma, Darjeeling Black tea, First Flush 2014",10,5,4,93,Happy Earth Tea,Darjeeling First Flush,"Darjeeling, India",Caffeinated,Loose,http://happyearthtea.com/products/sungma-organic-darjeeling-first-flush-2014
1,https://ratetea.com//review/3193/,"Holy Basil, Krishna (Tulsi)",9,5,5,93,Mountain Rose Herbs,Tulsi / Holy Basil,India,Caffeine Free,Loose,https://www.mountainroseherbs.com/products/holy-basil-krishna/profile
1,https://ratetea.com//review/3121/,Ceylon Estate,9,5,5,93,Octavia Tea,Ceylon Black Tea,"Uva, Sri Lanka",Caffeinated,Loose,http://www.octaviatea.com/products/Ceylon-Estate-%28tin%29.html
1,https://ratetea.com//review/3045/,Kenyan Black Tea with Lemon (Teabags),10,5,5,93,Ajiri Tea,Lemon Black Tea,Blend,Caffeinated,Teabag,https://ajiritea.com/collections/all/products/kenyan-black-tea-lemon-teabags
1,https://ratetea.com//review/2869/,Chingwo County Tea,9,5,5,93,Culinary Teas,Black Tea,"Fujian, China",Caffeinated,Loose,/tea/culinary-teas/chingwo-county-tea/6775/
1,https://ratetea.com//review/2557/,"Risheehat (Organic Darjeeling, First Flush 2013)",9,5,4,93,Happy Earth Tea,Darjeeling First Flush,"Darjeeling, India",Caffeinated,Loose,/tea/happy-earth/risheehat-organic-darjeeling-first-flush-2013/6657/
1,https://ratetea.com//review/2545/,"Sungma (Organic, Darjeeling First Flush 2013)",9,5,4,93,Happy Earth Tea,Darjeeling First Flush,"Darjeeling, India",Caffeinated,Loose,/tea/happy-earth/sungma-organic-darjeeling-first-flush-2013/6644/
1,https://ratetea.com//review/2493/,Bai Mu Dan White Tea,9,5,5,93,Arbor Teas,White Peony Tea,"Fujian, China",Caffeinated,Loose,http://www.arborteas.com/bai-mu-dan-white-tea.html
1,https://ratetea.com//review/2458/,Bi Luo Chun Green Tea (Pi Lo Chun),9,5,5,93,TeaVivre,Bi Luo Chun,"Jiangsu, China",Caffeinated,Loose,https://www.teavivre.com/bi-luo-chun-green-tea-pi-lo-chun.html
1,https://ratetea.com//review/2358/,Houjicha Tea,9,5,5,93,Mountain Rose Herbs,Hojicha,China,Caffeinated,Loose,https://www.mountainroseherbs.com/products/houjicha-tea/profile
